Accession;Gene Symbol;Description;Contaminant;Marked as;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;Biological Process;Cellular Component;Molecular Function;Entrez Gene ID;Ensembl Gene ID;KEGG Pathways;WikiPathways;# Razor Peptides;Abundance Ratio: (LIF) / (Control);Abundance Ratio P-Value: (LIF) / (Control);Abundance Ratio Adj. P-Value: (LIF) / (Control);Abundances (Grouped): Control;Abundances (Grouped): LIF;Abundances (Grouped) CV [%]: Control;Abundances (Grouped) CV [%]: LIF;Modifications
P54116;Stom;Erythrocyte band 7 integral membrane protein OS=Mus musculus OX=10090 GN=Stom PE=1 SV=3;FALSE;Mouse;7;20;7;1;"cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton;cytosol;endoplasmic reticulum;membrane;mitochondrion";protein binding;13830;ENSMUSG00000026880.11;;;0;1.038;0.725342253;0.938132762;98.1;101.9;8.38;5.76;
P54254;Atxn1;Ataxin-1 OS=Mus musculus OX=10090 GN=Atxn1 PE=1 SV=2;FALSE;Mouse;4;4;4;1;"metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytosol;nucleus";"DNA binding;protein binding;RNA binding";20238;ENSMUSG00000046876.15;;mRNA processing;0;1.215;0.069195774;0.858136371;90.3;109.7;7.96;7.56;
P54276;Msh6;DNA mismatch repair protein Msh6 OS=Mus musculus OX=10090 GN=Msh6 PE=1 SV=3;FALSE;Mouse;21;33;21;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"chromosome;cytosol;Golgi;nucleus";"catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding";17688;ENSMUSG00000005370.3;"Platinum drug resistance; Pathways in cancer; Colorectal cancer; Mismatch repair";Mismatch repair;0;0.971;0.308049648;0.866856602;101.5;98.5;14.86;5.25;
P54279;Pms2;Mismatch repair endonuclease PMS2 OS=Mus musculus OX=10090 GN=Pms2 PE=2 SV=1;FALSE;Mouse;1;1;1;1;"metabolic process;regulation of biological process;response to stimulus";"cytoskeleton;cytosol;membrane;nucleus";"catalytic activity;DNA binding;nucleotide binding;protein binding";18861;;;;0;;;;;;;;
P54285;Cacnb3;Voltage-dependent L-type calcium channel subunit beta-3 OS=Mus musculus OX=10090 GN=Cacnb3 PE=1 SV=2;FALSE;Mouse;2;3;2;1;"cell communication;cell organization and biogenesis;cellular homeostasis;regulation of biological process;response to stimulus;transport";membrane;"protein binding;transporter activity";12297;ENSMUSG00000003352.13;"Oxytocin signaling pathway; Hypertrophic cardiomyopathy (HCM); MAPK signaling pathway; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Dilated cardiomyopathy; Cardiac muscle contraction; Adrenergic signaling in cardiomyocytes";"Calcium Regulation in the Cardiac Cell; Myometrial Relaxation and Contraction Pathways";0;;;;;;;;
P54726;Rad23a;UV excision repair protein RAD23 homolog A OS=Mus musculus OX=10090 GN=Rad23a PE=1 SV=2;FALSE;Mouse;11;67;9;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;nucleus;proteasome";"DNA binding;protein binding";19358;ENSMUSG00000003813.15;"Nucleotide excision repair; Protein processing in endoplasmic reticulum";;2;1.117;0.19123478;0.858136371;94.5;105.5;16.93;3.38;
P54728;Rad23b;UV excision repair protein RAD23 homolog B OS=Mus musculus OX=10090 GN=Rad23b PE=1 SV=2;FALSE;Mouse;10;92;8;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;nucleus;proteasome";"DNA binding;protein binding";19359;ENSMUSG00000028426.10;"Nucleotide excision repair; Protein processing in endoplasmic reticulum";;0;1.235;0.080149687;0.858136371;89.5;110.5;12.72;3.85;
P54729;Nub1;NEDD8 ultimate buster 1 OS=Mus musculus OX=10090 GN=Nub1 PE=1 SV=2;FALSE;Mouse;10;19;9;1;"metabolic process;regulation of biological process";"cytosol;nucleus";protein binding;53312;ENSMUSG00000028954.11;;;0;0.929;0.14768329;0.858136371;103.7;96.3;6.71;6.44;
P54731;Faf1;FAS-associated factor 1 OS=Mus musculus OX=10090 GN=Faf1 PE=1 SV=2;FALSE;Mouse;8;11;8;1;"cell death;regulation of biological process";"cytoplasm;cytosol;nucleus";protein binding;14084;ENSMUSG00000010517.7;;"FAS pathway and Stress induction of HSP regulation; TNF-alpha NF-kB Signaling Pathway";0;1.009;0.548278076;0.900009405;99.5;100.5;10.17;2.99;
P54751;St3gal1;CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 OS=Mus musculus OX=10090 GN=St3gal1 PE=1 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;"extracellular;Golgi;membrane";catalytic activity;20442;ENSMUSG00000013846.9;"Glycosphingolipid biosynthesis - globo and isoglobo series; Metabolic pathways; Mucin type O-glycan biosynthesis; Glycosphingolipid biosynthesis - ganglio series; Glycosaminoglycan biosynthesis - keratan sulfate";;0;1.232;0.373541937;0.87501916;89.6;110.4;22.37;21.02;
P54754;Ephb3;Ephrin type-B receptor 3 OS=Mus musculus OX=10090 GN=Ephb3 PE=1 SV=2;FALSE;Mouse;6;6;5;1;"cell organization and biogenesis;cellular component movement;development;metabolic process;regulation of biological process;response to stimulus";membrane;"catalytic activity;nucleotide binding;protein binding;receptor activity;signal transducer activity";13845;ENSMUSG00000005958.14;Axon guidance;;0;1.123;0.453067182;0.885768536;94.2;105.8;11.76;5.66;
P54761;Ephb4;Ephrin type-B receptor 4 OS=Mus musculus OX=10090 GN=Ephb4 PE=1 SV=2;FALSE;Mouse;2;2;1;1;"cellular component movement;development;metabolic process;regulation of biological process;response to stimulus";membrane;"catalytic activity;nucleotide binding;protein binding;receptor activity;signal transducer activity";13846;ENSMUSG00000029710.15;Axon guidance;;0;;;;;;;;
P54763;Ephb2;Ephrin type-B receptor 2 OS=Mus musculus OX=10090 GN=Ephb2 PE=1 SV=3;FALSE;Mouse;3;3;3;1;"cell organization and biogenesis;cellular component movement;development;metabolic process;regulation of biological process;response to stimulus";"membrane;nucleus";"catalytic activity;nucleotide binding;protein binding;receptor activity;signal transducer activity";13844;ENSMUSG00000028664.14;Axon guidance;"NLR Proteins; Keap1-Nrf2";0;0.827;0.654887945;0.926981189;109.4;90.6;23.22;3.58;
P54775;Psmc4;26S proteasome regulatory subunit 6B OS=Mus musculus OX=10090 GN=Psmc4 PE=1 SV=2;FALSE;Mouse;21;85;20;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane;nucleus;proteasome";"catalytic activity;nucleotide binding;protein binding;RNA binding";23996;ENSMUSG00000030603.16;"Proteasome; Epstein-Barr virus infection";Proteasome Degradation;0;1.132;0.064834225;0.858136371;93.8;106.2;6.83;2.7;
P54797;"D16H22S680E; Tango2";Transport and Golgi organization 2 homolog OS=Mus musculus OX=10090 GN=Tango2 PE=1 SV=1;FALSE;Mouse;1;1;1;1;;"Golgi;mitochondrion";;27883;;;;0;;;;;;;;
P54822;Adsl;Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2;FALSE;Mouse;10;42;10;1;"cell organization and biogenesis;metabolic process;response to stimulus";"cytosol;mitochondrion";catalytic activity;11564;ENSMUSG00000022407.9;"Metabolic pathways; Purine metabolism; Alanine, aspartate and glutamate metabolism";"Purine metabolism; Nucleotide Metabolism";0;0.977;0.25399889;0.858136371;101.2;98.8;9.84;4.23;
P54823;Ddx6;Probable ATP-dependent RNA helicase DDX6 OS=Mus musculus OX=10090 GN=Ddx6 PE=1 SV=1;FALSE;Mouse;15;61;14;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"cytoplasm;cytosol;membrane;mitochondrion;nucleus";"catalytic activity;nucleotide binding;protein binding;RNA binding";13209;ENSMUSG00000032097.10;RNA degradation;mRNA processing;1;0.963;0.258537434;0.861497822;101.9;98.1;8.93;2.63;
P54843;Maf;Transcription factor Maf OS=Mus musculus OX=10090 GN=Maf PE=1 SV=2;FALSE;Mouse;1;1;1;1;"cell differentiation;metabolic process;regulation of biological process";"cytoplasm;nucleus";"DNA binding;protein binding";17132;ENSMUSG00000055435.6;"Inflammatory bowel disease (IBD); Transcriptional misregulation in cancer; Th1 and Th2 cell differentiation";"Keap1-Nrf2; TYROBP Causal Network";0;;;;;;;;
P54923;Adprh;[Protein ADP-ribosylarginine] hydrolase OS=Mus musculus OX=10090 GN=Adprh PE=1 SV=1;FALSE;Mouse;10;36;10;1;"metabolic process;regulation of biological process;transport";;"catalytic activity;enzyme regulator activity;metal ion binding;protein binding";11544;ENSMUSG00000002844.8;;;0;0.92;0.866971224;0.970430815;104.2;95.8;15.79;6.88;
P55012;Slc12a2;Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=2;FALSE;Mouse;6;7;5;1;"cellular homeostasis;response to stimulus;transport";membrane;"catalytic activity;nucleotide binding;protein binding;transporter activity";20496;;"Pancreatic secretion; Salivary secretion";;0;0.996;0.728709002;0.939062812;100.2;99.8;3.47;10.57;
P55096;Abcd3;ATP-binding cassette sub-family D member 3 OS=Mus musculus OX=10090 GN=Abcd3 PE=1 SV=2;FALSE;Mouse;8;13;8;1;"cell organization and biogenesis;metabolic process;response to stimulus;transport";"membrane;mitochondrion;organelle lumen";"catalytic activity;nucleotide binding;protein binding;transporter activity";19299;ENSMUSG00000028127.10;"ABC transporters; Peroxisome";Nuclear receptors in lipid metabolism and toxicity;0;0.96;0.341772998;0.87501916;102.1;97.9;6.6;3;
P55194;Sh3bp1;SH3 domain-binding protein 1 OS=Mus musculus OX=10090 GN=Sh3bp1 PE=1 SV=3;FALSE;Mouse;5;11;5;1;"cell differentiation;cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport";"cytoplasm;cytosol;nucleus";"enzyme regulator activity;protein binding";20401;ENSMUSG00000022436.15;;;0;0.86;0.030424457;0.858136371;107.6;92.4;1.76;6.33;
P55200;"Kmt2a; Mll1";Histone-lysine N-methyltransferase 2A OS=Mus musculus OX=10090 GN=Kmt2a PE=1 SV=3;FALSE;Mouse;1;1;1;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytosol;nucleus";"catalytic activity;DNA binding;metal ion binding;protein binding";214162;ENSMUSG00000002028.13;"Lysine degradation; Transcriptional misregulation in cancer";;0;;;;;;;;
P55258;Rab8a;Ras-related protein Rab-8A OS=Mus musculus OX=10090 GN=Rab8a PE=1 SV=2;FALSE;Mouse;11;60;4;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytoskeleton;endosome;Golgi;membrane";"catalytic activity;nucleotide binding;protein binding";17274;ENSMUSG00000003037.16;"Endocytosis; Pancreatic secretion; AMPK signaling pathway";Focal Adhesion-PI3K-Akt-mTOR-signaling pathway;3;0.944;0.371618556;0.87501916;102.9;97.1;6.62;1.81;
P55264;Adk;Adenosine kinase OS=Mus musculus OX=10090 GN=Adk PE=1 SV=2;FALSE;Mouse;9;40;9;1;"cell proliferation;metabolic process;regulation of biological process";"cytoplasm;cytosol;nucleus";"catalytic activity;metal ion binding;nucleotide binding;RNA binding";11534;ENSMUSG00000039197.9;"Metabolic pathways; Purine metabolism";Purine metabolism;0;0.942;0.266464349;0.862578915;103;97;4.28;5.32;
P55288;Cdh11;Cadherin-11 OS=Mus musculus OX=10090 GN=Cdh11 PE=1 SV=1;FALSE;Mouse;8;11;8;1;cell organization and biogenesis;"cytoplasm;membrane";metal ion binding;12552;ENSMUSG00000031673.6;;;0;0.955;0.711107962;0.936617382;102.3;97.7;25.23;19.33;
P55302;Lrpap1;Alpha-2-macroglobulin receptor-associated protein OS=Mus musculus OX=10090 GN=Lrpap1 PE=1 SV=1;FALSE;Mouse;15;45;15;1;"regulation of biological process;transport";"cell surface;cytoplasm;endoplasmic reticulum;endosome;extracellular;Golgi;membrane;organelle lumen";protein binding;16976;ENSMUSG00000029103.16;;;0;1.096;0.211056739;0.858136371;95.4;104.6;13.59;6.67;
P55821;Stmn2;Stathmin-2 OS=Mus musculus OX=10090 GN=Stmn2 PE=1 SV=1;FALSE;Mouse;5;40;2;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;endosome;Golgi;membrane";protein binding;20257;ENSMUSG00000027500.10;;;0;1.002;0.57581491;0.908490562;99.9;100.1;14.73;3.82;
P55937;Golga3;Golgin subfamily A member 3 OS=Mus musculus OX=10090 GN=Golga3 PE=1 SV=3;FALSE;Mouse;37;61;37;1;"cell differentiation;development;metabolic process;regulation of biological process";"cytoplasm;cytosol;Golgi;membrane;nucleus";"catalytic activity;motor activity;protein binding";269682;;;;0;1.028;0.088921611;0.858136371;98.6;101.4;1.01;1.94;
P56135;Atp5j2;ATP synthase subunit f, mitochondrial OS=Mus musculus OX=10090 GN=Atp5j2 PE=1 SV=3;FALSE;Mouse;1;7;1;1;"metabolic process;transport";"membrane;mitochondrion;nucleus";catalytic activity;57423;ENSMUSG00000038690.15;"Metabolic pathways; Oxidative phosphorylation";"Oxidative phosphorylation; Electron Transport Chain";0;0.824;0.268942658;0.862578915;109.6;90.4;19.06;8.49;
P56183;Rrp1;Ribosomal RNA processing protein 1 homolog A OS=Mus musculus OX=10090 GN=Rrp1 PE=1 SV=2;FALSE;Mouse;6;13;6;1;metabolic process;nucleus;RNA binding;18114;ENSMUSG00000061032.9;;;0;1.001;0.982762664;0.997783235;100;100;6.38;3.8;
P56212;Arpp19;cAMP-regulated phosphoprotein 19 OS=Mus musculus OX=10090 GN=Arpp19 PE=1 SV=2;FALSE;Mouse;3;7;2;1;"cell division;regulation of biological process";cytoplasm;"enzyme regulator activity;protein binding";59046;ENSMUSG00000007656.13;;;0;0.824;0.360580439;0.87501916;109.7;90.3;23.33;15.62;
P56375;Acyp2;Acylphosphatase-2 OS=Mus musculus OX=10090 GN=Acyp2 PE=1 SV=2;FALSE;Mouse;4;6;4;1;;mitochondrion;"catalytic activity;protein binding";75572;ENSMUSG00000060923.5;Pyruvate metabolism;;0;1.289;0.036794901;0.858136371;87.4;112.6;8.92;4.76;
P56376;Acyp1;Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2;FALSE;Mouse;5;18;5;1;;;catalytic activity;66204;ENSMUSG00000008822.15;Pyruvate metabolism;;0;1.037;0.474832501;0.890224938;98.2;101.8;27.6;1.71;
P56379;2010107E04Rik;6.8 kDa mitochondrial proteolipid OS=Mus musculus OX=10090 GN=Mp68 PE=1 SV=1;FALSE;Mouse;1;4;1;1;;"membrane;mitochondrion";;70257;ENSMUSG00000021290.5;;;0;0.781;0.254201286;0.858136371;112.3;87.7;41.84;14.83;
P56380;Nudt2;Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] OS=Mus musculus OX=10090 GN=Nudt2 PE=1 SV=3;FALSE;Mouse;5;9;5;1;cell death;mitochondrion;"catalytic activity;nucleotide binding";66401;ENSMUSG00000028443.6;"Purine metabolism; Pyrimidine metabolism";Purine metabolism;0;0.924;0.134618615;0.858136371;103.9;96.1;5.57;0.93;
P56382;Atp5e;ATP synthase subunit epsilon, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1e PE=1 SV=2;FALSE;Mouse;2;7;2;1;"metabolic process;transport";"membrane;mitochondrion";"catalytic activity;transporter activity";67126;ENSMUSG00000016252.7;"Metabolic pathways; Huntington's disease; Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";"Electron Transport Chain; Oxidative phosphorylation";0;0.967;0.677054068;0.930878699;101.7;98.3;9.48;8.53;
P56383;Atp5g2;ATP synthase F(0) complex subunit C2, mitochondrial OS=Mus musculus OX=10090 GN=Atp5mc2 PE=2 SV=2;FALSE;Mouse;1;10;1;1;"metabolic process;transport";"membrane;mitochondrion";"catalytic activity;transporter activity";67942;ENSMUSG00000062683.11;"Metabolic pathways; Huntington's disease; Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";"Oxidative phosphorylation; Electron Transport Chain";0;0.803;0.228537461;0.858136371;110.9;89.1;7.81;15.77;
P56389;Cda;Cytidine deaminase OS=Mus musculus OX=10090 GN=Cda PE=1 SV=2;FALSE;Mouse;3;3;3;1;"cell organization and biogenesis;metabolic process;regulation of biological process";cytosol;"catalytic activity;metal ion binding;protein binding";72269;ENSMUSG00000028755.3;"Metabolic pathways; Pyrimidine metabolism; Drug metabolism - other enzymes";;0;1.053;0.402137444;0.881111644;97.4;102.6;13.68;12.63;
P56390;Cks2;Cyclin-dependent kinases regulatory subunit 2 OS=Mus musculus OX=10090 GN=Cks2 PE=1 SV=1;FALSE;Mouse;2;8;1;1;"cell division;cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process";;"catalytic activity;enzyme regulator activity;protein binding";66197;ENSMUSG00000062248.5;"Small cell lung cancer; Pathways in cancer";;0;;;;;;;;
P56391;Cox6b1;Cytochrome c oxidase subunit 6B1 OS=Mus musculus OX=10090 GN=Cox6b1 PE=1 SV=2;FALSE;Mouse;1;3;1;1;;"membrane;mitochondrion";"catalytic activity;transporter activity";110323;ENSMUSG00000036751.7;"Metabolic pathways; Huntington's disease; Non-alcoholic fatty liver disease (NAFLD); Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease; Cardiac muscle contraction";Electron Transport Chain;0;0.939;0.860941861;0.97014605;103.2;96.8;46.45;38.78;
P56393;Cox7b;Cytochrome c oxidase subunit 7B, mitochondrial OS=Mus musculus OX=10090 GN=Cox7b PE=3 SV=1;FALSE;Mouse;1;1;1;1;"metabolic process;transport";"membrane;mitochondrion";"catalytic activity;transporter activity";66142;ENSMUSG00000031231.4;"Metabolic pathways; Huntington's disease; Non-alcoholic fatty liver disease (NAFLD); Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease; Cardiac muscle contraction";Electron Transport Chain;0;1.382;0.243589803;0.858136371;84;116;23.34;21.82;
P56395;"Cyb5; Cyb5a";Cytochrome b5 OS=Mus musculus OX=10090 GN=Cyb5a PE=1 SV=2;FALSE;Mouse;3;9;3;1;"metabolic process;response to stimulus;transport";"cytosol;endoplasmic reticulum;membrane;mitochondrion";"catalytic activity;metal ion binding;protein binding";109672;ENSMUSG00000024646.13;;Oxidation by Cytochrome P450;0;0.905;0.682258419;0.930878699;105;95;19.2;7.36;
P56399;Usp5;Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus OX=10090 GN=Usp5 PE=1 SV=1;FALSE;Mouse;23;88;23;1;"metabolic process;regulation of biological process";;"catalytic activity;metal ion binding;protein binding";22225;ENSMUSG00000038429.10;;;0;0.967;0.403634844;0.881111644;101.7;98.3;10.65;3.21;
P56480;Atp5b;ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2;FALSE;Mouse;24;474;24;1;"cell differentiation;cellular homeostasis;metabolic process;regulation of biological process;transport";"cell surface;membrane;mitochondrion;nucleus";"catalytic activity;metal ion binding;nucleotide binding;protein binding;receptor activity;transporter activity";11947;ENSMUSG00000025393.12;"Metabolic pathways; Huntington's disease; Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";"Electron Transport Chain; Oxidative phosphorylation";0;1.062;0.298068169;0.866856602;97;103;16.67;12.22;
P56542;Dnase2a;Deoxyribonuclease-2-alpha OS=Mus musculus OX=10090 GN=Dnase2 PE=1 SV=1;FALSE;Mouse;2;3;2;1;"cell death;cell differentiation;development;metabolic process";vacuole;catalytic activity;13423;ENSMUSG00000003812.13;Lysosome;;0;0.922;0.845752765;0.966049014;104;96;22.91;8.35;
P56546;Ctbp2;C-terminal-binding protein 2 OS=Mus musculus OX=10090 GN=Ctbp2 PE=1 SV=2;FALSE;Mouse;9;21;6;1;"cell differentiation;metabolic process;regulation of biological process";"cytosol;nucleus";"catalytic activity;nucleotide binding;protein binding";13017;ENSMUSG00000030970.16;"Wnt signaling pathway; Notch signaling pathway; Pathways in cancer; Chronic myeloid leukemia";"PluriNetWork; Wnt Signaling Pathway NetPath; Wnt Signaling Pathway and Pluripotency; Notch Signaling Pathway";3;1.007;0.495825496;0.89105195;99.6;100.4;9.29;1.54;
P56564;Slc1a3;Excitatory amino acid transporter 1 OS=Mus musculus OX=10090 GN=Slc1a3 PE=1 SV=2;FALSE;Mouse;5;10;5;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport";"cell surface;membrane";"metal ion binding;protein binding;transporter activity";20512;ENSMUSG00000005360.14;Glutamatergic synapse;;0;1.1;0.42144765;0.882388679;95.3;104.7;6.21;5.74;
P56565;S100a1;Protein S100-A1 OS=Mus musculus OX=10090 GN=S100a1 PE=1 SV=2;FALSE;Mouse;1;1;1;1;regulation of biological process;"cytoplasm;endoplasmic reticulum;nucleus";"metal ion binding;protein binding";20193;;;;0;0.937;0.922104573;0.985416643;103.3;96.7;29.83;8.77;
P56581;Tdg;G/T mismatch-specific thymine DNA glycosylase OS=Mus musculus OX=10090 GN=Tdg PE=1 SV=2;FALSE;Mouse;3;3;3;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"membrane;nucleus";"catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding";21665;ENSMUSG00000034674.18;Base excision repair;;0;1.119;0.385194832;0.879161134;94.4;105.6;10.93;6.47;
P56671;Maz;Myc-associated zinc finger protein OS=Mus musculus OX=10090 GN=Maz PE=1 SV=1;FALSE;Mouse;2;2;2;1;"metabolic process;regulation of biological process";"cytoplasm;nucleus";"DNA binding;metal ion binding;protein binding;RNA binding";17188;;;;0;1.189;0.240536359;0.858136371;91.4;108.6;8.06;12.95;
P56695;Wfs1;Wolframin OS=Mus musculus OX=10090 GN=Wfs1 PE=1 SV=1;FALSE;Mouse;9;17;9;1;"cellular homeostasis;metabolic process;regulation of biological process;response to stimulus";"endoplasmic reticulum;membrane;proteasome";protein binding;22393;ENSMUSG00000039474.13;Protein processing in endoplasmic reticulum;;0;0.922;0.571545356;0.907901447;104.1;95.9;11.07;8.15;
P56812;"Gm3837; Pdcd5-ps; Pdcd5";Programmed cell death protein 5 OS=Mus musculus OX=10090 GN=Pdcd5 PE=1 SV=3;FALSE;Mouse;7;20;7;1;"cell death;regulation of biological process;response to stimulus";"cytoplasm;cytosol;nucleus";"DNA binding;enzyme regulator activity;protein binding";"100042424; 56330";ENSMUSG00000030417.15;;;0;1.098;0.388679324;0.879342554;95.3;104.7;22.12;4.93;
P56873;Sssca1;Sjoegren syndrome/scleroderma autoantigen 1 homolog OS=Mus musculus OX=10090 GN=Sssca1 PE=1 SV=1;FALSE;Mouse;1;4;1;1;;;protein binding;56390;ENSMUSG00000079478.8;;;0;;;;;;;;
P56959;Fus;RNA-binding protein FUS OS=Mus musculus OX=10090 GN=Fus PE=1 SV=1;FALSE;Mouse;9;127;9;1;"regulation of biological process;response to stimulus";"cytoplasm;nucleus";"DNA binding;metal ion binding;protein binding;RNA binding";233908;ENSMUSG00000030795.18;Transcriptional misregulation in cancer;mRNA processing;0;1.09;0.187294015;0.858136371;95.7;104.3;11.2;6.63;
P56960;Exosc10;Exosome component 10 OS=Mus musculus OX=10090 GN=Exosc10 PE=1 SV=2;FALSE;Mouse;10;15;10;1;"metabolic process;regulation of biological process";"cytoplasm;cytosol;membrane;nucleus";"catalytic activity;nucleotide binding;RNA binding";50912;ENSMUSG00000017264.16;RNA degradation;;0;1.003;0.795013846;0.952334239;99.9;100.1;14.3;4.21;
P57080;Usp25;Ubiquitin carboxyl-terminal hydrolase 25 OS=Mus musculus OX=10090 GN=Usp25 PE=1 SV=2;FALSE;Mouse;5;6;5;1;metabolic process;"cytoplasm;cytosol;endoplasmic reticulum;nucleus;proteasome";"catalytic activity;protein binding";30940;ENSMUSG00000022867.9;;;0;0.91;0.727480449;0.938732477;104.7;95.3;9.93;11.59;
P57716;Ncstn;Nicastrin OS=Mus musculus OX=10090 GN=Ncstn PE=1 SV=3;FALSE;Mouse;8;21;8;1;"cell proliferation;metabolic process;regulation of biological process;response to stimulus";"endoplasmic reticulum;Golgi;membrane";"catalytic activity;protein binding";59287;ENSMUSG00000003458.12;"Notch signaling pathway; Alzheimer's disease";"Notch Signaling Pathway; Delta-Notch Signaling Pathway; Alzheimers Disease";0;0.932;0.136411805;0.858136371;103.5;96.5;4.89;1.98;
P57722;Pcbp3;Poly(rC)-binding protein 3 OS=Mus musculus OX=10090 GN=Pcbp3 PE=1 SV=3;FALSE;Mouse;4;51;1;1;regulation of biological process;"cytoplasm;cytosol;nucleus";"DNA binding;RNA binding";59093;ENSMUSG00000001120.15;;mRNA processing;0;1.16;0.309299147;0.866856602;92.6;107.4;12.66;5.81;
P57724;Pcbp4;Poly(rC)-binding protein 4 OS=Mus musculus OX=10090 GN=Pcbp4 PE=1 SV=1;FALSE;Mouse;4;18;3;1;regulation of biological process;"cytoplasm;cytosol";"DNA binding;RNA binding";59092;;;mRNA processing;0;0.924;0.586269552;0.909878192;103.9;96.1;8.45;3.91;
P57746;Atp6v1d;V-type proton ATPase subunit D OS=Mus musculus OX=10090 GN=Atp6v1d PE=1 SV=1;FALSE;Mouse;3;4;3;1;"cell organization and biogenesis;transport";membrane;"catalytic activity;transporter activity";73834;ENSMUSG00000021114.9;"mTOR signaling pathway; Rheumatoid arthritis; Metabolic pathways; Phagosome; Oxidative phosphorylation; Synaptic vesicle cycle; Collecting duct acid secretion";;0;1.072;0.815105635;0.95866708;96.5;103.5;17.85;5.66;
P57759;Erp29;Endoplasmic reticulum resident protein 29 OS=Mus musculus OX=10090 GN=Erp29 PE=1 SV=2;FALSE;Mouse;12;55;12;1;"metabolic process;regulation of biological process;transport";"cell surface;endoplasmic reticulum;membrane;organelle lumen";protein binding;67397;ENSMUSG00000029616.9;Protein processing in endoplasmic reticulum;;0;1.024;0.221923814;0.858136371;98.8;101.2;3.36;3.9;
P57780;Actn4;Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1;FALSE;Mouse;49;369;34;1;"cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport";"cytoplasm;cytoskeleton;cytosol;nucleus";"DNA binding;metal ion binding;protein binding;RNA binding";60595;ENSMUSG00000054808.15;"Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Focal adhesion; Adherens junction; Tight junction; Systemic lupus erythematosus; Amoebiasis; Viral carcinogenesis";Striated Muscle Contraction;15;0.953;0.329656404;0.869794864;102.4;97.6;12.42;5.44;
P57784;Snrpa1;U2 small nuclear ribonucleoprotein A' OS=Mus musculus OX=10090 GN=Snrpa1 PE=1 SV=2;FALSE;Mouse;9;31;9;1;metabolic process;"nucleus;spliceosomal complex";"protein binding;RNA binding";68981;ENSMUSG00000030512.13;Spliceosome;mRNA processing;0;1.01;0.479985816;0.890336285;99.5;100.5;8.29;8.5;
P57787;Slc16a3;Monocarboxylate transporter 4 OS=Mus musculus OX=10090 GN=Slc16a3 PE=1 SV=1;FALSE;Mouse;3;4;3;1;transport;membrane;"RNA binding;transporter activity";80879;ENSMUSG00000025161.16;Central carbon metabolism in cancer;;0;1.012;0.841912003;0.966049014;99.4;100.6;6.48;2.13;
P57791;Rce1;CAAX prenyl protease 2 OS=Mus musculus OX=10090 GN=Rce1 PE=2 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;"endoplasmic reticulum;membrane";catalytic activity;19671;ENSMUSG00000024889.3;Terpenoid backbone biosynthesis;;0;0.902;0.574133411;0.908071249;105.1;94.9;21.51;16.64;
